name,category,area,city,full_address,phone,google_rating,review_count,website_status,notes,source_url,call_ready,priority_score
My Guitar Academy Janakpuri,Music,Janakpuri,Delhi,"B2B-15, Opp Patanjali Mega Store, Below Cafe Coffee Day, Janakpuri, Delhi 110058",,4.7,129,unknown_likely_none,Guitar/ukulele/keyboard; JD Visit Website—confirm if weak,https://www.justdial.com/Delhi/My-Guitar-Academy-Opposite-Patanjali-Mega-Store-Below-Cafe-Coffee-Day-Janakpuri/011PXX11-XX11-170417113033-G5A6_BZDET,no,10
Swaranjali Sangeet Vidyalaya Dwarka,Music,Dwarka Sector 14,Delhi,"482 Om Apartment, Pocket-2, Dwarka Sector 14, Delhi 110078",,4.1,19,none,Vocal/instruments/kathak; Justdial Add Website for this address,https://www.justdial.com/Delhi/Swaranjali-Sangeet-Vidyalaya-Dwarka-Sector-14/011PXX11-XX11-190325143638-X2B9_BZDET,no,10
Pmc Music Academy,Music,Sukhdev Vihar,Delhi,"J-1, Church Compound, Masi Garh, Near Sukhdev Vihar Metro, Delhi 110025",,4.9,10,none,Multi-instrument/vocal; Justdial Add Website,https://www.justdial.com/Delhi/Pmc-Music-Academy-Near-Sukhdev-Vihar-Metro-Sukhdev-Vihar/011PXX11-XX11-210619152524-Y3H1_BZDET,no,10
Satyam Acting Institute,Spoken_English,Uttam Nagar,Delhi,"WZ-70B, Dyalsar Road near Nirankari Gurudwara West, Uttam Nagar 110059",,5.0,6,none,Justdial Add Website; acting/spoken-performance,https://www.justdial.com/Delhi/Satyam-Acting-Institute-Near-Nirankari-Gurudwara-West-Near-Metro-Station-Uttam-Nagar/011PXX11-XX11-230507173634-W3G2_BZDET,no,10
Akshay Rocks Guitar Classes,Music,New Ashok Nagar,Delhi,"No.10, B1/308 Street, New Ashok Nagar, Delhi 110096",,5.0,3,none,Guitar classes; Justdial Claim + Add Website,https://www.justdial.com/Delhi/Akshay-Rocks-Guitar-Classes-New-Ashok-Nagar/011PXX11-XX11-190524231351-N5N3_BZDET,no,10
Naad Musik,Music,Mayur Vihar Phase 3,Delhi,"Bikaner Building, Main Road, Sweet Aggarwal, Mayur Vihar Phase 3, Delhi 110096",,4.3,3,none,Guitar/harmonium/piano/vocal; Justdial Add Website,https://www.justdial.com/Delhi/Naad-Musik-Sweet-Aggarwal-Mayur-Vihar-Phase-3/011PXX11-XX11-221217144451-D7K4_BZDET,no,10
Journalist Today Institute,Spoken_English,Rohini Sector 3,Delhi,"CSC 8/1-2 DDA Market, In Front of Remal Public School, Sector-3 Rohini, Delhi 110085",,2.5,2,none,English conversation/media; Justdial Add Website,https://www.justdial.com/Delhi/Journalist-Today-Institute-Of-Media-Studies-In-Front-Of-Remal-Public-School-Sector-3-Rohini/011PXX11-XX11-101107105827-A1N3_BZDET,no,10
Sangeet Sur Sadhna,Music,Laxmi Nagar,Delhi,"T/F F-255, Mangal Bazar, Block F, Laxmi Nagar, Delhi 110092",,3.0,2,none,Classical/bhajan vocal; Justdial Add Website,https://www.justdial.com/Delhi/Sangeet-Sur-Sadhna-Laxmi-Nagar/011PXX11-XX11-231108141545-Q7W5_BZDET,no,10
Cuet Crash Course Kalu Sarai,IIT_NEET,Hauz Khas / Kalu Sarai,Delhi,"Building No-58/1, Near Punjab National Bank, Kalu Sarai, Hauz Khas, Delhi 110016",,5.0,1,none,JEE crash/tutorial; Justdial Add Website,https://www.justdial.com/Delhi/Cuet-Crash-Course-Near-Punjab-National-Bank-Kalu-Sarai-Hauz-Khas/011PXX11-XX11-220616130623-Z1L5_BZDET,no,10
Malkeet Singh Music Classes,Music,Tilak Nagar,Delhi,"WZ-136, Street No 8, Near CRPF Camp, Guru Nanak Nagar, Tilak Nagar, Delhi 110018",,2.0,1,none,Multi-instrument/vocal; Justdial Add Website,https://www.justdial.com/Delhi/Malkeet-Singh-Near-CRPF-CampGuru-Nanak-Nagar-Tilak-Nagar/011PXX11-XX11-161226200905-C8K5_BZDET,no,10
ELI The English Language Institute,Spoken_English,Pitampura,Delhi,"QU Block, Near Income Tax Colony, Pitampura, Delhi 110034",,,,none,Spoken English tutorial since ~1999; Justdial Add Website,https://www.justdial.com/Delhi/ELI-The-English-Language-Institute-Near-Income-Tax-Colony-Pitampura/011PXX11-XX11-190524000008-I5A9_BZDET,no,10
Manzil Mystics Music Classes,Music,South Extension I,Delhi,Studio South Extension I (also Okhla); NCR,,,,instagram_only,NGO guitar/ukulele/Hindustani vocal; verify phone via org,https://mytribe.in/manzilmysticsfoundation/music-education-for-children-youth/join-our-classes,no,10
Oviya Music Studio,Music,Karol Bagh,Delhi,"13/67, Faiz Road, Karol Bagh, Delhi 110005",,,,none,Justdial Add Website; unlock phone on JD,https://www.justdial.com/Delhi/Oviya-Music-Studio-Karol-Bagh/011PXX11-XX11-190910184154-X9Q8_BZDET,no,10
RVS Study Point,IIT_NEET,Shakarpur,Delhi,"U-135 D, 1st Floor, Vikas Marg, Shakarpur, Near Laxmi Nagar Metro Gate No. 3, Delhi 110092",,4.6,73,unknown_likely_none,NEET/IIT-JEE since ~2011; Sulekha/Studydekho; phone masked on aggregators,https://www.sulekha.com/rvs-study-point-laxmi-nagar-delhi-contact-address,no,15
Piano Lessons By Vikrant Puri,Music,Sector 168,Noida,"Paras Seasons / Advant area, Sector 168, Noida 201305",,4.8,70,unknown_likely_none,Long-running piano teacher; confirm website polish,https://www.justdial.com/Noida/Piano-Lessons-By-Vikrant-Puri-Advant-Noida-Sector-168/011PXX11-XX11-140309132417-M2F3_BZDET,no,15
Success Ladder,IIT_NEET,Mayur Vihar Phase 3,Delhi,"94-A, Pocket A3, LIG Flats, Labour Chowk Road, Near Ryan International School, Mayur Vihar Phase 3, Delhi 110096",9990940808,4.9,55,broken_or_template,Small local JEE/NEET/boards; Justdial claimed; DIY site successladder.study only,https://www.justdial.com/Delhi/Success-Ladder-Near-Ryan-International-School-Mayur-Vihar-Phase-3/011PXX11-XX11-210202102515-S2Y9_BZDET,yes,20
Neet And Iit Jee Janakpuri,IIT_NEET,Janakpuri,Delhi,"A-1/171, Metro Pillar No 614, Janakpuri, Delhi 110058",,4.8,13,unknown_likely_none,Local NEET/IIT tutorial on Justdial; confirm any weak website before outreach,https://www.justdial.com/Delhi/Neet-And-Iit-Jee-Metro-Pillar-No-614-Janakpuri/011PXX11-XX11-180119154010-U1N5_BZDET,no,20
Arene Academy,IIT_NEET,Laxmi Nagar,Delhi,"Gali No-01, D-17 Basement, In Front of Metro Pillar No-35, Laxmi Nagar, Delhi 110092",,4.7,12,unknown_likely_none,Local JEE/NEET/foundation; Studydekho; phone masked,https://www.studydekho.com/institutes/show/arene-academy/1213,no,20
Speakwell Skills Academy Laxmi Nagar centre,Spoken_English,Laxmi Nagar,Delhi,"Office 401/402/403, D-126 4th Floor, Gali No 6, Near Laxmi Nagar Metro, Delhi 110092",,3.7,8,unknown_likely_none,Local centre listing; national Speakwell has brand site—verify local web weakness,https://www.justdial.com/Delhi/Speakwell-Skills-Academy-Beside-Standard-Juice-Durga-PropertiesNear-Laxmi-Nagar-Metro-Station-Laxmi-Nagar/011PXX11-XX11-130930150424-N7E5_BZDET,no,20
The Basic,IIT_NEET,Laxmi Nagar,Delhi,"B-12, Laxmi Deep Building, District Centre, Laxmi Nagar, Delhi 110092",,5.0,1,unknown_likely_none,Entrance coaching on Sulekha; few reviews,https://www.sulekha.com/the-basic-laxmi-nagar-delhi-contact-address,no,20
Abhishek Sinha Abiona Education,IIT_NEET,Sector 57,Gurgaon,"Sector 57, Gurgaon (online small batches)",9717288557,,,urbanpro_only,IIT BHU PCM; JEE/boards,https://www.urbanpro.com/gurgaon/abhishek-sinha,yes,20
Aryan Classes Shahdara,IIT_NEET,Vishwas Nagar Shahdara,Delhi,"500/7, Gali Number 5 near Mata Chintpurni Mandir, Block 17 East Rohtas Nagar, Vishwas Nagar, Shahdara 110032",,,,unknown_likely_none,School + entrance coaching; unlock phone on Maps,https://www.studydekho.com/institutes/show/aryan-classes/1107,no,20
Deven Music Classes South Ex directory,Music,South Extension 2,Delhi,"B-38, 3rd Floor, South Ex-2, Delhi 110049",,,,unknown_likely_none,NCRCities directory; phone not published on scraped page,https://www.ncrcities.com/delhi/dance-music-classes/deven-music-classes.html,no,20
Rajan Mittal Classes,IIT_NEET,Tri Nagar,Delhi,"1468/103, Ganeshpura, Tri Nagar, New Delhi 110035",,,,unknown_likely_none,9-12 JEE NEET; no polished brand site found,https://topcoachingindelhi.com/institute/rajan-mittal-classes/,no,20
SARVODAYA Shahdara,IIT_NEET,West Jyoti Nagar Shahdara,Delhi,"168, Ground Floor, West Jyoti Nagar, Shahdara, Delhi 110093",,,,unknown_likely_none,Local coaching; unlock phone on Maps,https://www.studydekho.com/institutes/show/sarvodaya/6274,no,20
Sardar Patel Institute Spoken English,Spoken_English,Uttam Nagar,Delhi,"A-9, First Floor, Milap Nagar, Uttam Nagar, Delhi 110059",,,,unknown_likely_none,Spoken English + IELTS since 2009; Sulekha; confirm no polished site,https://www.sulekha.com/profile/sardar-patel-institute-uttam-nagar-delhi,no,20
Siddhant Kumar Maurya Physics,IIT_NEET,Online / Delhi NCR,Delhi,Online Zoom/Webex Physics Class 11 + JEE/NEET,9905683583,,,urbanpro_only,Published WhatsApp phone on UrbanPro,https://www.urbanpro.com/online-class/physics-class-11-jee-neet-online-through-zoom/24324333,yes,20
Swaragini Music Academy,Music,Vasundhara,Ghaziabad,"E-215, Sector 17, Vasundhara, Ghaziabad 201012",,,,unknown_likely_none,Multi-instrument & vocal; Sulekha; no dedicated site found,https://www.sulekha.com/swaragini-music-academy-vasundhara-ghaziabad-contact-address,no,20
Tamanna Sangeet Vidyalaya,Music,Sukhrali / MG Road,Gurgaon,"First Floor, Chajju Ram Building, MG Road, Sukhrali, Gurugram",9654929196,,,urbanpro_only,Guitar/keyboard/piano/vocal + dance; UrbanPro listing,https://www.urbanpro.com/gurgaon/tamanna-sangeet-vidyalaya-sukhrali/5697336,yes,20
Tansen Sangeet Mahavidyalayaa Sector 62,Music,Sector 62,Noida,"C-56A/25, Sector 62, Noida 201309",,,,unknown_likely_none,Guitar/keyboard/drums/singing; Sulekha; no polished site confirmed,https://www.sulekha.com/tansen-sangeet-mahavidyalayaa-sector-62-noida-noida-contact-address,no,20
Music Tutor Delhi Mr Paras,Music,Delhi NCR home tuition,Delhi,Home coaching Model Town Ashok Vihar Karol Bagh Shahdara Rohini Dwarka,9873085729,,,broken_or_template,WordPress blog only; guitar/keyboard/vocal home tuition,https://musictutordelhi.wordpress.com/,yes,25
Upesh Kumar Music,Music,Sahibabad,Ghaziabad,"Sahibabad, Ghaziabad 201010",,4.9,37,urbanpro_only,Piano/keyboard/guitar; strong UrbanPro reviews,https://www.urbanpro.com/ghaziabad/upesh-kumar,no,40
Success Ladder Tutorial Wix,IIT_NEET,Mayur Vihar Phase 3,Delhi,Mayur Vihar Phase 3 (align with Pocket A3 centre),,,,broken_or_template,Wix template page for JEE/NEET tutorial branding,https://successltutorial.wixsite.com/success,no,40
Nitin IELTS Spoken English,Spoken_English,East of Kailash,Delhi,"East of Kailash, Delhi 110065",,4.7,26,urbanpro_only,IELTS + spoken English; UrbanPro reviews (mixed recent notes),https://www.urbanpro.com/delhi/nitin/14207054,no,45
Rohit M IELTS Spoken English,Spoken_English,Tilak Nagar / Uttam Nagar,Delhi,Tilak Nagar Delhi; weekend batches also Uttam Nagar,,5.0,24,urbanpro_only,British Council CELTS; IELTS + spoken English; strong reviews,https://www.urbanpro.com/delhi/rohit-m/reviews/7673397,no,45
Tanudeep Datta,Music,I.P. Extension,Delhi,"I.P. Extension, Delhi 110092",,5.0,24,urbanpro_only,Guitar/keyboard/piano/vocals; Trinity; 24 UrbanPro reviews,https://www.urbanpro.com/delhi/tanudeep,no,45
Utkarsh Mishra Music,Music,Sector 42,Gurgaon,"Sector 42, Gurgaon 122011",,5.0,24,urbanpro_only,Vocals/piano/guitar; RSL/Trinity; UrbanPro,https://www.urbanpro.com/gurgaon/utkarsh-mishra,no,45
Tuneable Music Academy,Music,I.P. Extension / Madhu Vihar,Delhi,"First Floor Office C-5, Sai Chowk, Madhu Vihar, I.P. Extension, Delhi 110092",,4.9,21,urbanpro_only,Piano/guitar/vocal; Trinity/ABRSM; UrbanPro,https://www.urbanpro.com/delhi/tuneable-music-academy-i-p-extension,no,45
Shipra Dawar IELTS,Spoken_English,Sector 26A,Gurgaon,"Sector 26A Block B, Gurgaon 122002",,4.9,19,urbanpro_only,25 yrs English/IELTS; UrbanPro Super Tutor,https://www.urbanpro.com/gurgaon/shipra-d/9778853,no,45
Pankaj Chaturvedi IELTS,Spoken_English,Raj Bagh,Ghaziabad,"Raj Bagh, Ghaziabad 201005",,5.0,10,urbanpro_only,15+ yrs IELTS; UrbanPro Super Tutor,https://www.urbanpro.com/ghaziabad/pankaj-chaturvedi,no,45
Neha Gandhi Music,Music,Amrapali Dream Valley,Ghaziabad,"Amrapali Dream Valley, Ghaziabad",,5.0,8,urbanpro_only,Piano/Hindustani vocal/harmonium; UrbanPro Top Tutor,https://www.urbanpro.com/ghaziabad/neha-gandhi/reviews/7464713,no,45
Anand Kumar Physics,IIT_NEET,Rohini Sector 5,Delhi,"Rohini Sector 5B, Delhi 110085",,5.0,6,urbanpro_only,JEE/NEET Physics; UrbanPro reviews,https://www.urbanpro.com/delhi/anand-kumar/14016493,no,45
Sanjeet K Physics,IIT_NEET,Dwarka Sector 10,Delhi,"Sector 10, Dwarka, Delhi 110075",,5.0,1,urbanpro_only,15+ yrs Physics JEE Advanced/Mains/NEET,https://www.urbanpro.com/delhi/sanjeet-k-physics-jee-advance-jee-main-neet-cbse-class-xi-and-xii,no,45
Sudhir Kumar Singh Chemistry,IIT_NEET,Rohini Sector 23,Delhi,"Rohini Sector 23, Delhi 110085",,5.0,1,urbanpro_only,20 yrs Chemistry; Sudhir Chemistry Classes Rohini,https://www.urbanpro.com/delhi/sudhir-kumar-singh,no,45
Aaditya Sharma Music,Music,Laxmi Nagar,Delhi,"Laxmi Nagar Block D, Delhi 110092",,,,urbanpro_only,Guitar/piano/vocals; phone verified,https://www.urbanpro.com/delhi/aaditya-sharma/16442531,no,45
Akash Music Classes,Music,Laxmi Nagar,Delhi,"79 J, Laxmi Nagar Block D, Delhi 110092",,,,urbanpro_only,Guitar/keyboard/Hindustani vocal; phone verified,https://www.urbanpro.com/delhi/akash-music-classes-laxmi-nagar-block-d/17247211,no,45
Alok IIT And Medical Academy,IIT_NEET,Malviya Nagar,Delhi,"210D Basement, Savitri Nagar, Malviya Nagar, New Delhi 110017 (Opp. Syndicate Bank)",,,,urbanpro_only,Since ~2000; IIT/medical + science tuition; phone verified UrbanPro,https://www.urbanpro.com/delhi/alok-iit-and-medical-academy-malviya-nagar/5491357,no,45
Amit Kumar Physics,IIT_NEET,Laxmi Nagar,Delhi,"Laxmi Nagar Block D, Delhi 110092",,,,urbanpro_only,Physics JEE/NEET/boards; phone verified,https://www.urbanpro.com/delhi/amit-kumar/6830972,no,45
Anurag Kumar Chemistry,IIT_NEET,Dwarka Sector 8,Delhi,"Dwarka Sector 8, Delhi 110077",,,,urbanpro_only,10 yrs Chemistry JEE/NEET; phone verified,https://www.urbanpro.com/delhi/anurag-kumar/55844429,no,45
Arvind Kumar Chemistry,IIT_NEET,Shakarpur,Delhi,"Shakarpur, Delhi 110092",,,,urbanpro_only,10 yrs Chemistry JEE/NEET; Arene Institute faculty; phone verified,https://www.urbanpro.com/delhi/arvind-kumar/11694595,no,45
Aspiring Aces,IIT_NEET,Rohini Sector 14 / Prashant Vihar,Delhi,"A1/1 2nd Floor above MG Motors, A Block Prashant Vihar, Sector 14 Rohini, Delhi 110085",,,,urbanpro_only,NEET/JEE/foundation small institute; UrbanPro,https://www.urbanpro.com/delhi/aspiring-aces-rohini-sector-14/52150898,no,45
Deepti T Spoken English,Spoken_English,Dwarka Sector 10,Delhi,"Sector 10, Dwarka, Delhi 110075",,,,urbanpro_only,Spoken English home/online; phone on UrbanPro,https://www.urbanpro.com/delhi/deepti-t/24814616,no,45
Deven Sharma Music Teacher,Music,Masjid Moth,Delhi,"Masjid Moth, Delhi 110049",,,,urbanpro_only,Vocal/theory/composition; 18 yrs; UrbanPro,https://www.urbanpro.com/delhi/deven-sharma,no,45
Dwivedi Study Circle,IIT_NEET,Tilak Nagar / Mahavir Nagar,Delhi,"M-1, Main Najafgarh Road, Mahavir Nagar, Janak Puri Metro pillar no 557, Tilak Nagar, Delhi 110018",,,,urbanpro_only,NEET/IIT + boards; UrbanPro,https://www.urbanpro.com/delhi/dwivedi-study-circle-tilak-nagar/12003888,no,45
Haque M A Physics,IIT_NEET,Laxmi Nagar,Delhi,"Laxmi Nagar Block D, Delhi 110092",,,,urbanpro_only,JEE & NEET Physics Class 11-12; phone verified,https://www.urbanpro.com/delhi/haque-m-a-physics-for-iit-neet-11-12,no,45
Jitender Kumar Chemistry,IIT_NEET,Malka Ganj,Delhi,"Malka Ganj, Delhi 110007",,,,urbanpro_only,DU MSc Chemistry; JEE/NEET Chemistry tutor; UrbanPro,https://www.urbanpro.com/gurgaon/jitender-kumar,no,45
Lalit M IELTS Trainer,Spoken_English,Mayur Vihar,Delhi,"Mayur Vihar, Delhi 110091",,,,urbanpro_only,Certified IELTS; spoken English for professionals,https://www.urbanpro.com/delhi/lalit-mathur,no,45
LearnX Education and Technology,IIT_NEET,Khidki Village / Saket,Delhi,"181B, Press Enclave Marg, Opp. Select Citywalk, Khirki Extension, Delhi 110017",,,,urbanpro_only,JEE/NEET/BITSAT + school; UrbanPro verified reviews,https://www.urbanpro.com/delhi/learnx-education-and-technology-pvt-ltd-malviya-nagar-khidki-village/28001283,no,45
Manoj Pandey,IIT_NEET,Laxmi Nagar,Delhi,"Laxmi Nagar Block D, Delhi 110092",,,,urbanpro_only,10 yrs IIT/NEET faculty; one-to-one; phone verified,https://www.urbanpro.com/delhi/manoj-pandey/24364862,no,45
Modhumita G Spoken English,Spoken_English,Dwarka Sector 22,Delhi,"Dwarka Sector 22, Delhi 110075",,,,urbanpro_only,Spoken English + communication; phone on UrbanPro,https://www.urbanpro.com/delhi/modhumita,no,45
Muzicocean,Music,Preet Vihar,Delhi,"Preet Vihar, Delhi 110092 (Landmark Cyberpark)",,,,urbanpro_only,Guitar/keyboard institute; phone verified,https://www.urbanpro.com/delhi/muzicocean-preet-vihar/2998590,no,45
Next Step IELTS OET Institute,Spoken_English,Preet Vihar,Delhi,"C-125, C Block, Preet Vihar, Delhi 110092",,,,urbanpro_only,IELTS + OET + spoken English; phone verified UrbanPro,https://www.urbanpro.com/delhi/next-step-ielts-oet-institute-preet-vihar/43326397,no,45
Niraj K Physics,IIT_NEET,Vaishali Sector 4,Ghaziabad,"Vaishali Sector 4, Ghaziabad 201010",,,,urbanpro_only,16 yrs IITJEE/NEET Physics; ex-FIITJEE; phone verified,https://www.urbanpro.com/ghaziabad/niraj-k/24421546,no,45
