name,area,city,full_address,phone,google_rating,review_count,website_status,notes,source_url,call_ready,priority_score
Just Fitt Gym & Spa,Dwarka Sector 11,Delhi,"Plot no. 3, Manish Twin Plaza, Ashirwad Chowk, Sector 11 Dwarka, Delhi 110075",+91 98994 50419,4.7,543,unknown_likely_none,Also listed as 085870 70809 on some directories,https://gym-india.nears.me/listings/india/delhi/delhi-1/highly-rated-just-fitt-gym-delhi-dl/,yes,-5
Absolute Fitness Club,Sector 45,Gurugram,"House No 617, Sector 45, Gurugram, Haryana 122001",+91 81300 66347,4.9,536,unknown_likely_none,No dedicated site found,https://yappe.in/haryana/gurugram/absolute-fitness-club/1728831,yes,-5
The Gym Health Planet Karol Bagh,Karol Bagh,Delhi,"2C/2, New Rohtak Rd, near Bikanerwala, opposite Liberty Cinema, Block 2C, Karol Bagh, New Delhi 110005",+91 98910 16741,4.7,450,unknown_likely_none,High review volume; no polished brand site confirmed,https://gym-india.nears.me/listings/india/delhi/new-delhi-delhi/highly-rated-the-gym-health-planet-new-rohtak-road-karol-bagh-new-delhi-delhi-dl/,yes,-5
MPX FITNESS,Kalkaji,Delhi,"Double Storey apartments, near A, B 117, behind SOUTH PARK, Block B, Kalkaji, New Delhi 110019",+91 99990 13449,4.8,441,unknown_likely_none,No own website found,https://gym-india.nears.me/listings/india/delhi/new-delhi/highly-rated-mpx-fitness-new-delhi-dl/,yes,-5
Flex Appeal Fitness,Kapas Hera,Delhi,"2nd floor, Old Delhi Gurugram Rd, above ICICI bank, Kapas Hera Extension, Kapas Hera Estate, New Delhi 110097",+91 70111 26705,4.9,383,unknown_likely_none,No professional site found,https://gym-india.nears.me/listings/india/delhi/new-delhi/highly-rated-flex-appeal-fitness-new-delhi-dl/,yes,-5
PS FITNESS GYM Prem Nagar,Sector 13 Prem Nagar,Gurugram,"325/3 2nd floor, Bus Stand Rd, opposite Indian Bank, Prem Nagar, Sector 13, Gurugram 122001",+91 93556 93911,5.0,382,unknown_likely_none,No website found,https://yappe.in/haryana/gurugram/ps-fitness-gym/1724139,yes,-5
PULSE FITNESS Tilak Nagar,Tilak Nagar / Krishna Nagar,Delhi,"WZ-23 Krishna Nagar Near CRPF Camp, Gali Number 2, Tilak Nagar, New Delhi 110018",+91 99102 91683,4.9,377,unknown_likely_none,Strong local Tilak Nagar gym; no dedicated professional site found,https://gym-india.nears.me/listings/india/delhi/new-delhi-delhi/highly-rated-pulse-fitness-best-gym-in-tilak-nagar-new-delhi-delhi-dl/,yes,-5
Everyday Fitness Greater Noida,Sector 4,Greater Noida,"3rd Floor, Galaxy Blue Sapphire Plaza, 1A & 1B, C-03, Sector 4, Greater Noida 201016",+91 99112 46464,4.4,374,unknown_likely_none,No dedicated website confirmed,https://gym-india.nears.me/listings/india/uttar-pradesh/greater-noida-ghaziabad/trusted-everyday-fitness-greater-noida-greater-noida-ghaziabad-up/,yes,-5
Xtreme Fitness Gym Gaur City 2,Gaur City 2 / Greater Noida West,Ghaziabad,"Near Gagan Public School, Gaur City 2, Greater Noida West, Ghaziabad 201016",+91 96505 28700,4.4,335,unknown_likely_none,Local multi-review gym; no polished site confirmed,https://gym-india.nears.me/listings/india/uttar-pradesh/noida-ghaziabad/trusted-xtreme-fitness-gym-gaur-city-2-noida-ghaziabad-up/,yes,-5
Fitness Point Gym and RVS Wellness Mantra,Greenfields,Faridabad,"Greenfields near Mall Road Police Station, Greenfields, Faridabad 121010",+91 85277 60323,4.9,318,unknown_likely_none,No site found,https://gym-india.nears.me/listings/india/haryana/faridabad/highly-rated-fitness-point-gym-and-rvs-wellness-mantra-faridabad-hr/,yes,-5
Fit Pros Gym,West Patel Nagar,Delhi,"House number 51, ground floor, Block no. 20, near Mother Dairy, West Patel Nagar, New Delhi 110008",+91 93101 02951,4.8,310,unknown_likely_none,High reviews; no dedicated site found,https://gym-india.nears.me/listings/india/delhi/new-delhi-delhi/highly-rated-fit-pros-gym-new-delhi-delhi-dl/,yes,-5
Energy Zone Gym,Sector 38,Gurugram,"House No 343 P, behind Vita Dairy, Sector 38, Gurugram, Haryana 122018",+91 85878 57531,4.8,281,unknown_likely_none,No website found,https://yappe.in/haryana/gurugram/energy-zone-gym/1728227,yes,-5
Fit Gym West Patel Nagar,West Patel Nagar,Delhi,"Metro Pillar Number 216, BP 17, Patel Rd, Block 1, West Patel Nagar, New Delhi 110008",+91 88265 65779,4.1,275,unknown_likely_none,Independent neighborhood gym; no own website found,https://gym-india.nears.me/listings/india/delhi/new-delhi-delhi/fit-gym-west-patel-nagar-new-delhi-delhi-dl/,yes,-5
Genes Fitness by IFBB PRO Saurabh Singh,Vikaspuri,Delhi,"B-7, 1st Floor, opposite Metro Pillar No. 613, Block-B, Shankar Garden, Vikaspuri, New Delhi 110018",+91 99534 36887,4.9,246,unknown_likely_none,Local PT-led gym; no dedicated domain found,https://gym-india.nears.me/listings/india/delhi/new-delhi-delhi/highly-rated-genes-fitness-by-ifbb-pro-saurabh-singh-new-delhi-delhi-dl/,yes,-5
Fitness Paathshala Gym,Rohini Sector 19,Delhi,"A-10, Badli Ext Rd, Sector 19, Rohini, New Delhi, Delhi 110042",+91 98913 80280,4.9,199,unknown_likely_none,No dedicated domain found on Maps/directories,https://promallu.com/toprated/india/fitness-paathshala-gym-779y/,yes,-5
Sagars Vyayam Station Gym Mahipalpur,Mahipalpur Extension,Delhi,"Kh.No.845/3, Vasant Kunj Rd, Mahipalpur Extension, Mahipalpur, New Delhi 110037",+91 88261 05411,5.0,196,unknown_likely_none,Strong reviews; no professional site found,https://gym-india.nears.me/listings/india/delhi/new-delhi/highly-rated-sagars-vyayam-station-gym-mahipalpur-new-delhi-dl/,yes,-5
Galaxy Fitness,Sector 15 Part 2,Gurugram,"1004, near Huda Market Road, Sector 15 Part 2, Sector 15, Gurugram, Haryana 122001",+91 82871 54486,4.9,186,unknown_likely_none,No dedicated website found,https://yappe.in/haryana/gurugram/galaxy-fitness-sector-15/802989,yes,-5
Seven Pillars Fitness,Sector 27,Gurugram,"Plot no 561, near Medanta Hospital, Sector 27, Gurugram, Haryana 122009",+91 60054 74692,4.7,180,unknown_likely_none,No site found,https://yappe.in/haryana/gurugram/seven-pillars-fitness/1478369,yes,-5
The Bodyline Gym Sec 40,Sector 40,Gurugram,"429/40, Market Rd, Sector 40, Gurugram, Haryana 122003",+91 99110 00402,4.7,176,unknown_likely_none,No own domain found,https://yappe.in/haryana/gurugram/the-bodyline-gym-sec-40/1724134,yes,-5
Zealous Fitness Gym,DLF Phase IV,Gurugram,"4th Floor, DLF Super Mart 1, C-042B, Supermart-1, DLF Phase IV, Gurugram 122009",+91 81303 92980,4.9,165,unknown_likely_none,No site found,https://gym-india.nears.me/listings/india/haryana/gurugram/highly-rated-zealous-fitness-gym-gurugram-hr/,yes,-5
Fitness 1 Gym,Indirapuram Niti Khand I,Ghaziabad,"Arora Shoppers Park / Plot No.1032 Opp. Orange County, Niti Khand-1, Indirapuram, Ghaziabad",+91 97176 83727,4.5,162,unknown_likely_none,Also listed 9899343096 / 8178794362,https://yappe.in/uttar-pradesh/ghaziabad/fitness-1-gym/165430,yes,-5
24x7 Fitness Gym,Sector 116,Noida,"SD-06, Sector 116, Noida, Uttar Pradesh 201301",+91 99118 69836,4.0,100,unknown_likely_none,Local listing on Yappe,https://yappe.in/uttar-pradesh/noida/24x7-fitness-gym/2071533,yes,-5
Hype The Gym Sector 14,Sector 14,Gurugram,"B-32, next to Hyundai showroom, Sector 14, Gurugram, Haryana 122007",+91 96672 77058,,,none,Same local Hype brand; no working professional site,https://allpeople.biz/rajesh+yadav_hype-the-gym-sec-gurugram-in,yes,-5
Athsetpro Gym and Fitness,Paschim Vihar,Delhi,"BASEMENT, Plot No M-567, Guru Harkishan Nagar, Paschim Vihar, Delhi 110087",+91 88004 37757,5.0,93,unknown_likely_none,No dedicated website found,https://gym-india.nears.me/listings/india/delhi/delhi-1/highly-rated-athsetpro-gym-and-fitness-best-gym-delhi-dl/,yes,0
Fitness Villa,Sector 62,Noida,"RN 73, Rasoolpur Nawada, Industrial Area, Sector 62, Noida 201301",+91 92894 18131,5.0,86,unknown_likely_none,No dedicated website found,https://gym-india.nears.me/listings/india/uttar-pradesh/noida/highly-rated-fitness-villa-noida-up/,yes,0
OLD SCHOOL GYM Mahipalpur,Mahipalpur,Delhi,"H.No 17, Rd Number 2 near Aeroporto Hotel, A/B Block, Mahipalpur Village, New Delhi 110037",+91 97181 44684,4.9,81,unknown_likely_none,No dedicated website found,https://gym-india.nears.me/listings/india/delhi/new-delhi/highly-rated-old-school-gym-new-delhi-dl/,yes,0
Fitness Fusion,Sector 37,Faridabad,"653, Sector 37 Main Rd, Huda Market, Sector 37, Faridabad 121003",+91 98116 39167,4.8,78,unknown_likely_none,No dedicated website found,https://gym-india.nears.me/listings/india/haryana/faridabad-delhi/highly-rated-fitness-fusion-faridabad-delhi-hr/,yes,0
FITXONE GYM Sector 3,Sector 3,Faridabad,"1st floor, HUDA Market, near Tagore Academy Public School, Sector 3, Faridabad 121004",+91 72178 29394,3.9,74,unknown_likely_none,No site found,https://gym-india.nears.me/listings/india/haryana/faridabad/fitxone-gym-sector-3-faridabad-hr/,yes,0
Fitness Supreme GYM,Sector 11 Jhundpura,Noida,"Jhundpura Village, Sector 11, Noida 201301",+91 92131 07023,4.6,68,unknown_likely_none,No site found,https://gym-india.nears.me/listings/india/uttar-pradesh/noida/trusted-fitness-supreme-gym-noida-up/,yes,0
Good Health Fitness,Indirapuram,Ghaziabad,"Krishna Apra Shopping Plaza, F-01, First Floor, Indirapuram, Ghaziabad 201014",+91 98182 73401,5.0,55,unknown_likely_none,No website on Yappe,https://yappe.in/uttar-pradesh/ghaziabad/good-health-fitness/165436,yes,0
F7 Fitness,Sector 89 Ferrous City,Faridabad,"Near Amanpuri and TDI Retreat, Ferrous City Phase 1, Sector 89, Faridabad 121014",+91 79827 84458,4.7,48,unknown_likely_none,No dedicated website found,https://gym-india.nears.me/listings/india/haryana/faridabad/trusted-f7-fitness-faridabad-hr/,yes,0
Body Power Gym,Ashok Vihar / Wazirpur,Delhi,"WP-391, near Lal School / Chowdhry Banwari, Wazirpur Village, Ashok Vihar, Delhi 110052",+91 99535 07776,4.6,40,unknown_likely_none,Local Ashok Vihar gym; no website found,https://gym-india.nears.me/listings/india/delhi/delhi-1/trusted-body-power-gym-delhi-dl/,yes,0
Fitness One Gym Nawada,Uttam Nagar / Nawada,Delhi,"C9, Block F, Nawada Extension, Uttam Nagar, New Delhi 110059",+91 96543 03579,4.5,31,unknown_likely_none,Also listed +91 98995 11543; no dedicated site found,https://allpeople.biz/dakshan+murthi_fitness-one-gym_7x-in,yes,0
Muscle Palace The Gym By Gaurav,NIT Faridabad,Faridabad,"2C-82, Block C, New Industrial Township 2, Industrial Town, Faridabad 121001",+91 83768 81444,4.9,30,unknown_likely_none,No site found,https://gym-india.nears.me/listings/india/haryana/faridabad/trusted-muscle-palace-the-gym-by-gaurav-faridabad-hr/,yes,0
Big Biceps Gym,Rohini Sector 20,Delhi,"444, Pooth Kalan, near MCD Bal Vidya Mandir School, Sector 20, Rohini, Delhi 110086",+91 83681 35882,5.0,23,unknown_likely_none,Neighborhood gym; no own site found,https://gym-india.nears.me/listings/india/delhi/delhi-1/trusted-big-biceps-gym-delhi-dl-2/,yes,5
Mr Wow Fitness Zone,Sector 4 Iteda,Greater Noida,"Plot no-115, Sector-4, Iteda, Greater Noida 201318",+91 93545 45001,5.0,21,unknown_likely_none,No site found,https://gym-india.nears.me/listings/india/uttar-pradesh/greater-noida/trusted-mr-wow-fitness-zone-greater-noida-up/,yes,5
Fitness Plus Gym,Surajpur Kasna,Greater Noida,"Kasna Main Road, Block E, Surajpur Site V, Greater Noida 201312",+91 78277 23339,4.8,15,unknown_likely_none,Under 20 reviews but phone+address clear,https://gym-india.nears.me/listings/india/uttar-pradesh/greater-noida/trusted-fitness-plus-gym-greater-noida-up/,yes,5
The Royal Fitness Gym - Unisex,Rama Vihar Rohini Sector 39,Delhi,"C-185, Leelu Pahalwan Chowk, Rama Vihar, Sector 39, Rohini, New Delhi 110081",+91 92139 10045,3.8,14,unknown_likely_none,Phone+address verified; under 20 reviews,https://yappe.in/delhi/new-delhi/the-royal-fitness-gym-unisex/1981409,yes,5
SR Fitness Unisex Gym Govindpuri Ext,Tughlakabad / Govindpuri Ext,Delhi,"Rz-397/1, Street No. 14, Tughlakabad Extension, New Delhi 110019",+91 84470 10711,5.0,8,unknown_likely_none,Near Govindpuri/Okhla belt; phone+address; low reviews,https://gym-india.nears.me/listings/india/delhi/new-delhi/sr-fitness-unisex-gym-govindpuri-extension-new-delhi-dl/,yes,5
World Champion Raj Nayak's Gym,East Patel Nagar,Delhi,"11/18, Block 11, East Patel Nagar, Patel Nagar, New Delhi 110008",+91 93103 36490,3.5,6,unknown_likely_none,Phone+address verified; low review count,https://gym-india.nears.me/listings/india/delhi/new-delhi/world-champion-raj-nayaks-gym-new-delhi-dl/,yes,5
Be Fit Gym Khera Kalan,Khera Kalan,Delhi,"Apna Store 1st floor, Khera Kalan Village, Delhi 110082",+91 82851 00926,,,unknown_likely_none,Phone+address verified; near Model Town/North Delhi,https://allpeople.biz/hemant+kumar_be-fit-gym_3t-in,yes,5
Being Fit Gym,Mohammadpur / R.K. Puram,Delhi,"C-124, Mohammadpur, Rama Krishna Puram, New Delhi 110066",+91 98118 50905,,,unknown_likely_none,Phone+address from business directory; confirm rating on Maps,https://allpeople.biz/mukesh+kumar_being-fit-gym_7V-in,yes,5
Dark Sweat Health Club,Rohini Sector 11,Delhi,"Rohini Sector 11, New Delhi (confirm plot on Maps)",+91 70115 51259,,,unknown_likely_none,Owner-listed phone; confirm full address on Google Maps,https://www.linkedin.com/in/darksweat-healthclub-186ab61b9,yes,5
FitEdge Workout Studio,Kaushambi,Ghaziabad,"Plot No. 9, Kaushambi Commercial Area, Kaushambi, Ghaziabad 201012",+91 98730 00987,,,unknown_likely_none,Phone+address verified,https://allpeople.biz/sharwan+rai_fitedge-workout-studio-in,yes,5
Fitholic Gym,Paschim Vihar / Peeragarhi,Delhi,"2, RR Block, Rohtak Rd, near Peeragarhi, Mianwali Nagar, Paschim Vihar, New Delhi 110087",+91 11 4940 9005,,,unknown_likely_none,Phone+address verified; confirm Google rating,https://allpeople.biz/dewan+singh+bisht_fitholic-gym-in,yes,5
Fitness Formula,Vaishali,Ghaziabad,"Gaur Ganga II Commercial Complex, Near Vaishali Metro Station, Sector 4, Vaishali, Ghaziabad 201012",+91 92664 88538,,,unknown_likely_none,Phone+address verified,https://allpeople.biz/sundeep+thakur_fitness-formula-in,yes,5
Health Concept Gym,Sector 40,Gurugram,"Sector 40, Gurugram",+91 85860 00042,4.1,,unknown_likely_none,Confirm full address on Google Maps,https://yappe.in/haryana/gurugram/the-bodyline-gym-sec-40/1724134,yes,5
K31 Gym,Sector 40,Gurugram,"Sector 40, Gurugram",+91 96255 51917,5.0,,unknown_likely_none,Confirm full address on Google Maps before calling,https://yappe.in/haryana/gurugram/the-bodyline-gym-sec-40/1724134,yes,5
Max Fitness Gym Indirapuram,Indirapuram Shakti Khand II,Ghaziabad,"Plot Number-154, Shakti Khand II, Indirapuram, Near Avantika Hospital, Ghaziabad 201014",+91 98714 06350,,,unknown_likely_none,Also listed 9899271280; confirm rating on Maps,https://www.365doctor.in/gym/max-fitness-gym-indirapuram,yes,5
Proline Fitness,Kaushambi,Ghaziabad,"Plot No 17-18 Ground Floor, behind Yashoda Hospital, Kaushambi, Ghaziabad 201012",+91 120 412 5252,,,unknown_likely_none,Phone+address verified,https://allpeople.biz/anoop+kumar_proline-fitness_82V-in,yes,5
Pumping Iron Unisex Gym,Rohini Sector 6D,Delhi,"D/7 /327, Sector 6 Rd, Vishram Chowk, Pocket 7, Sector 6D, Rohini, Delhi 110085",+91 99539 69011,,,unknown_likely_none,Phone+address on Gym Navigator; confirm rating on Google Maps,https://gymnavigator.com/gyms/129402/pumping-iron-unisex-gym-rohini/,yes,5
The Bodyline Gym New Colony,New Colony Sector 7,Gurugram,"116-B, near Taneja Hospital, New Colony, Sector 7, Gurugram, Haryana 122001",+91 88020 74347,,,unknown_likely_none,Phone+address from business directory,https://allpeople.biz/sonu+saini_the-bodyline-gym-new-colony-in,yes,5
The Fitness Point Gym & CrossFit,Sector 82 Bathola,Faridabad,"Bathola, Bhataula Village, Sector 82, Faridabad 121007",+91 99904 26164,,,unknown_likely_none,Phone+address verified; confirm rating on Maps,https://gym-india.nears.me/listings/india/haryana/faridabad/trusted-the-fitness-point-gym-crossfit-faridabad-hr/,yes,5
Reshape With Varun Gym,Naraina Vihar,Delhi,"A-25, Block A, Naraina Vihar, Naraina, New Delhi 110028",+91 11 4034 2919,4.9,858,broken_or_template,Only Google Business Site reshape-with-varun.business.site,https://promallu.com/toprated/india/reshape-with-varun-gym-6pxgw/,yes,15
Marut Gym & Fitness Center,Laxmi Nagar,Delhi,"R-200, Gali No. 10, Ramesh Park, Laxmi Nagar, New Delhi 110092",+91 98992 52671,4.9,537,broken_or_template,Only Firebase page marutgym.web.app,https://gym-india.nears.me/listings/india/delhi/new-delhi-delhi/highly-rated-marut-gym-fitness-center-gym-in-laxmi-nagar-new-delhi-delhi-dl/,yes,15
Intense Rigour Gym & Fitness Centre,Sushant Lok Sector 43,Gurugram,"ROF Portico / Sushant Lok Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram",+91 93196 61448,4.8,535,broken_or_template,Has intense-rigour.com; verify if thin before treating as prospect,https://www.joonsquare.com/gym-and-fitness-centre/intense-rigour-gym-and-fitness-centre-gurugram,yes,15
The Gym Club Rosewood City,Sector 49,Gurugram,"Rosewood City Rd, Rosewood City, Ghasola, Sector 49, Gurugram 122018",+91 88822 04400,4.4,439,broken_or_template,gymclublife.com appears thin/local,https://linkedin.com/company/the-gym-club---india,yes,15
FitZest Fitness Gym Uttam Nagar,Uttam Nagar,Delhi,"WZ-152 B-1 & 2, Bal Udhyan Rd, Metro Pillar 677, Block D/E, Uttam Nagar, New Delhi 110059",+91 98715 15505,4.7,149,broken_or_template,Has fitzestfitness.com but looks template/generic,https://mymetro.in/gyms/fitzest-fitness-gym-best-gym-in-uttam-nagar-uttam-nagar-west-687/,yes,15
Attractive Fitness Gym,Sector 15 Part 1,Gurugram,"Kirti Nagar / Baandh Road, Sector 15 Part 1, Gurugram 122001",+91 79068 54709,4.6,76,broken_or_template,Thin attractivefitnessgym.in site,https://yappe.in/haryana/gurugram/attractive-fitness-gym/1730226,yes,20
PARASHU FITNESS PT Group,Sector 48,Noida,"C-142, Block C, Sector 48, Noida, Uttar Pradesh 201303",+91 73887 63129,4.9,76,broken_or_template,Canva site only,https://promallu.com/toprated/india/parashu-fitness-personal-trainer-group-4g34/,yes,20
Dronacharya's The Gym Dabri,Dabri Janakpuri,Delhi,"B-9/10 Sitapuri, Main Dabri-Palam Rd, Dabri, New Delhi 110045",+91 96508 40397,4.9,58,broken_or_template,Local multi-branch; some pages look template/demo,https://yappe.in/delhi/new-delhi/dronacharya-s-the-gym-dabri-more/1072624,yes,20
RDX Gym Ashok Vihar,Ashok Vihar Phase II,Delhi,"B-1/35, 2nd & 3rd Floor, Ashok Vihar Phase II, New Delhi 110052",+91 93196 52521,3.9,51,broken_or_template,Local RDX branch; thin multi-branch site,https://gym-india.nears.me/listings/india/delhi/new-delhi-delhi/rdx-gym-ashok-vihar-new-delhi-delhi-dl/,yes,20
STAR GYM Fitness Club,Sector 62A,Noida,"Rajeev Nagar, Makanpur Colony, Sector 62A, Noida, Uttar Pradesh 201020",+91 87002 55527,4.8,46,broken_or_template,Netlify template stargymfitnessclub.netlify.app,https://gym-india.nears.me/listings/india/uttar-pradesh/noida/trusted-star-gym-fitness-club-noida-up/,yes,20
NICK RANA Fitness Trainer,DLF Phase 1 Sector 26,Gurugram,"E11 1, E-Block, Block F, DLF Phase 1, Sector 26, Gurugram 122001",+91 88001 84576,5.0,33,broken_or_template,PT studio; nickfitness.co.in appears basic,https://yappe.in/haryana/gurugram/nick-rana-fitness-trainer/1728415,yes,20
BMW Gym Rohini,Rohini Sector 8,Delhi,"Sector 8, Next to Kendriya Vidyalaya, Shiva Road, opposite Bakery Wala, New Delhi 110085",+91 97116 96996,,,broken_or_template,Firebase hosting only (bmw-gym-rohini.web.app),https://bmw-gym-rohini.web.app/,yes,25
FITLAND FORT Unisex Gym,Sector 44,Noida,"Plot 02, 1st Floor, Gali Number 03, near Primary School, Village Chhalera & Sadarpur, Sector 44, Noida 201303",+91 97736 85808,5.0,,broken_or_template,Google Sites only,https://sites.google.com/view/fitlandfort,yes,25
Sparta Gym Dwarka,Dwarka Sector 13,Delhi,"Plot No. 84 Gate No. 3, opp. Hotel Radisson Blu, Sector 13 Dwarka, Delhi 110075",+91 95408 41111,4.6,752,broken_or_template,Has spartagym.in; local multi-branch borderline prospect,https://promallu.com/toprated/india/sparta-gym-w4w46/,yes,45
Moltom The Fitness Lounge,Mayur Vihar Phase 1,Delhi,"13-A, Pratap Nagar, Acharya Niketan Market near Jeevan Anmol Hospital, Mayur Vihar, New Delhi 110091",+91 85275 97772,4.5,528,broken_or_template,Has moltom.in; larger local lounge - lower priority vs pure no-site leads,https://moltom.in/,yes,45
Aimfit Gym Golf Course Road,DLF Phase 1 Sector 26,Gurugram,"F-17/4, Golf Course Rd, DLF Phase 1, Sector 26, Gurugram 122002",+91 97114 44799,4.6,448,broken_or_template,Has aimfitgyms.com; borderline if site is weak,https://yappe.in/haryana/gurugram/aimfit-gym-golf-course-road/795532,yes,45
Energie Gym Mayur Vihar,Mayur Vihar,Delhi,"C-35 & 36, 1st Floor, Block B, Acharya Niketan, Mayur Vihar, New Delhi 110091",+91 92666 29002,4.0,281,broken_or_template,Has energiegym.in; include only if you accept weak multi-branch local sites,https://yappe.in/delhi/new-delhi/energie-gym-mayur-vihar/313872,yes,45
Enigma Fitness Dwarka Sector 10,Dwarka Sector 10,Delhi,"Second Floor, Plot No. 7, Central Market, Dwarka Sec-10, New Delhi 110075",+91 99906 25555,,,broken_or_template,Has enigmafitness.in; local chain - lower priority,https://www.enigmafitness.in/,yes,55
Functional Fitness Indirapuram,Indirapuram,Ghaziabad,"Top Floor, Jaipuria Sunrise Plaza, SB-63, Ahinsa Khand 1, Indirapuram, Ghaziabad 201014",+91 74283 66866,,,broken_or_template,Has thefunctionalfitness.com multi-branch - lower priority,https://thefunctionalfitness.com/,yes,55
Knockout Fight Club Kalkaji,Nehru Enclave Kalkaji,Delhi,"R-23, Top Floor, Nehru Enclave, Near Nehru Place Flyover, New Delhi 110019",+91 98100 21011,,,broken_or_template,Has knockoutfightclub.com; ~896 reviews on Yappe list - site exists so lower priority,https://knockoutfightclub.com/nehru-place-kalkaji-branch/,yes,55
Nutan's Magiic Fitness Center,Indirapuram,Ghaziabad,"Shop No 12A UGF, Lotus Plaza Market, Vaibhav Khand, Indirapuram, Ghaziabad 201014",+91 78386 66757,,,broken_or_template,Has nutansmagiic.com; boutique studio,https://nutansmagiic.com/index.html,yes,55
